4.5	3.6	1.8	1	1	0	2	2	2
3	3.3	2.4	1	0	1	4	2	1
2.2	3.25	3.4	0	1	-1	1	1	2
1.22	6	15	1	0	1	2	1	1
2.1	3.2	3.75	1	0	1	2	0	1
1.29	5.5	11	0	1	-1	0	1	3
3.8	3.4	2	2	0	2	2	0	1
3.6	3.3	2.1	0	2	-2	0	2	3
2.1	3.2	3.75	1	0	1	3	2	1
1.53	4	6.5	0	0	0	1	1	2
1.62	3.75	6	1	1	0	3	2	1
1.2	6.5	15	1	0	1	1	0	1
1.62	3.75	6	0	0	0	1	1	2
2.63	3.25	2.75	0	0	0	0	0	2
1.91	3.4	4.2	0	1	-1	1	2	3
2.3	3.25	3.2	1	1	0	2	2	2
4.75	3.6	1.75	0	1	-1	1	1	2
5.5	3.6	1.67	0	1	-1	0	2	3
4.5	3.6	1.8	0	0	0	2	2	2
1.4	4.5	8.5	0	0	0	0	0	2
1.91	3.4	4.2	0	0	0	0	0	2
3.75	3.25	2.1	0	0	0	2	0	1
1.57	3.8	6.5	2	0	2	4	2	1
1.91	3.6	4	0	0	0	0	0	2
2.5	3.25	2.88	0	0	0	1	0	1
2.4	3.1	3.2	0	1	-1	2	3	3
1.22	5.75	15	0	1	-1	0	3	3
3.4	3.3	2.2	0	1	-1	1	2	3
1.62	4	5.5	2	0	2	2	3	3
5	3.6	1.73	1	0	1	1	0	1
2.5	3.3	2.88	2	0	2	2	1	1
2.1	3.3	3.6	2	0	2	5	1	1
1.57	3.8	6.5	3	0	3	3	0	1
1.22	6	15	1	0	1	2	0	1
2.2	3.2	3.5	0	0	0	0	3	3
2.3	3.25	3.25	1	0	1	2	0	1
3.2	3.1	2.4	0	3	-3	1	4	3
2.6	3.2	2.8	1	1	0	2	2	2
3.4	3.3	2.2	0	2	-2	2	4	3
1.57	4.2	5.5	0	1	-1	2	2	2
1.57	3.8	6.5	1	2	-1	1	4	3
2	3.3	4	0	1	-1	1	1	2
1.25	5.5	13	3	0	3	7	1	1
3.4	3.25	2.2	0	0	0	1	1	2
2	3.5	3.75	1	0	1	3	1	1
2.6	3.2	2.8	0	0	0	3	2	1
5	3.6	1.73	1	1	0	1	1	2
2	3.4	3.8	0	1	-1	2	1	1
1.29	5.25	12	1	1	0	2	1	1
3.5	3.4	2.1	0	1	-1	1	1	2
1.73	3.6	5	2	0	2	3	0	1
1.36	4.75	9	1	0	1	1	1	2
1.53	4	6.5	1	0	1	1	0	1
2.75	3.2	2.63	2	2	0	2	2	2
1.83	3.5	4.5	1	0	1	1	0	1
2.25	3.3	3.25	1	0	1	3	1	1
1.62	3.75	6	2	0	2	3	0	1
2.1	3.3	3.6	1	0	1	2	1	1
1.4	4.5	9	0	0	0	0	0	2
2.2	3.25	3.4	0	0	0	0	0	2
3.8	3.4	2	1	0	1	3	1	1
1.62	4	5.5	0	0	0	0	1	3
4.5	3.6	1.8	0	1	-1	1	3	3
2	3.3	4	0	0	0	2	1	1
2.8	3.25	2.6	1	0	1	1	1	2
2.4	3.25	3	1	0	1	1	0	1
2	3.4	3.8	1	0	1	1	0	1
1.8	3.6	4.5	0	0	0	1	1	2
2.2	3.2	3.5	1	0	1	1	0	1
1.73	3.6	5	0	2	-2	1	2	3
3.2	3.3	2.3	0	1	-1	1	2	3
2.3	3.2	3.2	0	0	0	0	2	3
2.1	3.25	3.75	1	0	1	2	0	1
1.91	3.4	4.2	1	2	-1	1	3	3
1.29	5.5	11	1	0	1	2	0	1
3.25	3.25	2.25	0	2	-2	1	3	3
2.1	3.3	3.6	0	2	-2	1	2	3
2.63	3.2	2.75	1	0	1	3	1	1
6.5	4.33	1.5	0	0	0	1	1	2
1.44	4.2	8	3	0	3	4	0	1
1.83	3.4	4.75	0	2	-2	0	2	3
1.62	3.75	6	0	0	0	0	2	3
1.53	4	6.5	0	0	0	2	0	1
1.83	3.5	4.5	1	1	0	1	3	3
3.4	3.2	2.25	1	1	0	1	1	2
1.29	5.5	11	0	0	0	1	0	1
1.33	5	10	0	0	0	0	1	3
6.5	4.2	1.5	1	2	-1	2	2	2
5.5	3.6	1.67	0	1	-1	0	3	3
1.7	3.75	5	0	1	-1	2	1	1
1.29	5.5	10	1	0	1	1	0	1
2.63	3.2	2.75	1	0	1	2	0	1
1.83	3.5	4.5	2	0	2	3	0	1
1.4	4.5	8.5	1	0	1	1	0	1
6	4.2	1.53	1	1	0	1	2	3
2	3.4	3.8	0	0	0	2	0	1
1.25	5.5	13	1	1	0	3	3	2
2.5	3.2	2.9	0	1	-1	0	1	3
2.3	3.25	3.25	0	1	-1	1	2	3
2.2	3.25	3.4	1	0	1	3	0	1
1.25	5.75	12	1	0	1	2	1	1
1.91	3.6	4	0	0	0	0	0	2
2.2	3.25	3.4	0	0	0	0	1	3
3.4	3.25	2.2	2	0	2	3	1	1
1.73	3.6	5	0	0	0	1	1	2
2.63	3.25	2.75	1	1	0	2	1	1
1.83	3.6	4.33	3	0	3	5	0	1
8	4.2	1.44	1	0	1	1	0	1
3.8	3.75	1.91	1	1	0	2	1	1
1.29	5.5	11	0	0	0	2	0	1
1.33	5	10	1	1	0	4	3	1
2.1	3.25	3.75	1	0	1	2	0	1
1.8	3.6	4.5	1	1	0	3	2	1
6	4	1.57	0	2	-2	0	3	3
2.5	3.25	2.88	0	0	0	1	1	2
2.4	3.2	3.1	0	0	0	1	1	2
2.2	3.2	3.5	1	0	1	2	2	2
2.2	3.25	3.4	0	0	0	1	1	2
2.88	3.3	2.5	0	0	0	0	0	2
1.2	6.5	15	1	0	1	3	0	1
3.5	3.4	2.1	1	0	1	1	0	1
2.5	3.25	2.88	0	2	-2	1	2	3
1.5	4	7.5	0	1	-1	2	2	2
2.2	3.2	3.5	1	0	1	2	0	1
1.2	6.5	15	3	0	3	5	0	1
3.5	3.4	2.1	0	0	0	1	1	2
3.4	3.2	2.25	0	1	-1	0	3	3
2.25	3.3	3.25	1	0	1	2	0	1
6	3.75	1.62	0	2	-2	0	4	3
8	5	1.36	2	0	2	2	3	3
3.2	3.25	2.3	0	0	0	1	2	3
1.53	3.8	7	0	0	0	1	0	1
1.4	4.5	8.5	0	1	-1	2	1	1
1.33	5	9.5	2	0	2	3	1	1
5.5	3.6	1.67	2	2	0	2	4	3
1.73	3.6	5	1	2	-1	2	2	2
4.5	3.5	1.83	1	2	-1	2	2	2
3.25	3.4	2.2	0	1	-1	0	1	3
2.38	3.3	3	1	3	-2	1	3	3
1.83	3.5	4.5	0	0	0	1	0	1
2.1	3.3	3.6	0	0	0	1	0	1
1.62	3.75	6	0	0	0	2	0	1
1.91	3.4	4.2	1	0	1	2	2	2
1.44	4.5	7	1	1	0	5	3	1
1.4	4.5	8.5	3	0	3	3	0	1
5	4	1.67	0	4	-4	4	4	2
2.1	3.2	3.75	1	1	0	3	2	1
1.57	4	6	1	0	1	2	1	1
2.5	3.25	2.9	1	1	0	4	3	1
8.5	4.5	1.4	2	1	1	2	1	1
1.62	4	5.5	0	0	0	0	1	3
2	3.5	3.75	0	0	0	0	1	3
1.22	6	15	1	0	1	2	0	1
2.5	3.2	2.9	0	0	0	1	0	1
2.1	3.4	3.5	0	0	0	0	0	2
3.25	3.4	2.2	1	1	0	1	1	2
1.36	4.75	9	1	0	1	1	1	2
1.73	3.6	5	1	0	1	2	1	1
2.75	3.25	2.6	1	1	0	1	2	3
1.91	3.6	4	3	0	3	3	3	2
2.75	3.25	2.6	1	0	1	2	0	1
5	3.6	1.73	0	0	0	0	0	2
2.6	3.2	2.8	0	1	-1	0	2	3
1.85	3.4	4.5	0	1	-1	1	1	2
4	3.6	1.91	2	0	2	3	1	1
1.3	5.25	10	1	0	1	1	0	1
1.73	3.6	5	0	0	0	4	1	1
1.73	3.6	5	2	0	2	2	0	1
2.1	3.25	3.75	1	1	0	1	1	2
6.5	4	1.53	0	1	-1	0	4	3
1.83	3.6	4.33	1	0	1	4	0	1
1.5	4	7.5	1	0	1	1	1	2
3.4	3.3	2.2	2	0	2	3	1	1
1.91	3.4	4.2	0	0	0	1	1	2
2.2	3.2	3.6	0	1	-1	2	1	1
1.44	4.33	7.5	0	0	0	0	0	2
2.38	3.2	3.1	0	0	0	1	3	3
2.25	3.4	3.2	1	1	0	3	2	1
1.73	3.6	5	1	1	0	3	2	1
1.36	4.75	9	1	0	1	1	0	1
2.6	3.2	2.8	1	2	-1	1	2	3
2.25	3.3	3.25	2	0	2	3	0	1
2.8	3.2	2.6	2	0	2	3	1	1
3	3.3	2.38	2	2	0	3	3	2
10	5.5	1.3	0	1	-1	1	3	3
1.53	4	6.5	1	1	0	1	1	2
1.83	3.5	4.5	0	1	-1	0	1	3
1.8	3.6	4.5	0	2	-2	2	2	2
2	3.25	4	1	0	1	2	1	1
1.36	4.75	9	0	0	0	1	0	1
2.2	3.25	3.4	1	0	1	4	0	1
1.57	4	6	0	0	0	0	0	2
5	3.6	1.73	1	0	1	2	2	2
2.1	3.3	3.6	1	1	0	2	1	1
1.62	3.75	6	0	0	0	2	0	1
2.63	3.2	2.75	0	1	-1	0	2	3
1.25	6	11	0	0	0	0	0	2
2.5	3.25	2.88	1	0	1	2	1	1
1.83	3.6	4.33	1	0	1	2	2	2
1.95	3.4	4	2	0	2	4	1	1
5.5	3.6	1.67	1	1	0	1	1	2
3	3.3	2.38	0	0	0	2	1	1
4.5	3.6	1.8	2	0	2	2	4	3
3	3.25	2.4	0	0	0	0	0	2
1.53	4.2	6	2	0	2	3	0	1
1.5	4	7	2	0	2	5	0	1
2	3.3	4	1	1	0	1	1	2
2.2	3.25	3.4	2	0	2	3	0	1
1.2	6	17	0	0	0	1	0	1
1.44	4.33	7.5	2	0	2	2	0	1
2.2	3.2	3.5	2	1	1	2	3	3
1.73	3.6	5	3	2	1	3	2	1
2.6	3.25	2.8	0	3	-3	0	3	3
1.83	3.6	4.33	1	0	1	1	0	1
8.5	5	1.36	0	2	-2	1	3	3
2.6	3.2	2.8	3	0	3	3	0	1
2.25	3.2	3.4	1	0	1	2	0	1
2.3	3.5	3	0	2	-2	1	3	3
1.67	3.75	5.5	0	0	0	2	0	1
5.5	3.6	1.7	1	3	-2	1	3	3
2.25	3.3	3.25	1	1	0	1	2	3
1.73	3.6	5	0	0	0	1	1	2
5.5	3.6	1.67	0	0	0	0	0	2
1.2	6.5	15	2	0	2	3	1	1
2.88	3.4	2.4	2	3	-1	3	3	2
1.8	3.6	4.5	1	1	0	1	1	2
2.88	3.5	2.38	1	1	0	1	1	2
1.2	6.5	15	1	0	1	3	0	1
1.44	4.33	7.5	2	0	2	5	0	1
1.44	4.33	7.5	0	0	0	1	0	1
2.1	3.25	3.75	0	0	0	4	2	1
1.57	4	6	1	1	0	2	2	2
2.5	3.25	2.88	1	0	1	1	1	2
4.5	3.8	1.75	1	0	1	2	1	1
3.6	3.3	2.1	0	0	0	0	1	3
1.8	3.4	5	2	0	2	3	0	1
1.8	3.5	4.75	1	0	1	3	0	1
1.91	3.5	4	1	0	1	1	0	1
2.63	3.4	2.63	0	0	0	0	0	2
1.44	4.33	7.5	1	1	0	2	1	1
2.6	3.2	2.8	0	1	-1	0	3	3
2.38	3.3	3	0	1	-1	2	1	1
2.8	3.25	2.6	1	0	1	1	1	2
2.5	3.25	2.88	0	0	0	1	0	1
2.1	3.3	3.6	1	1	0	1	1	2
1.44	4.33	7.5	1	0	1	3	0	1
1.4	4.5	9	2	1	1	2	1	1
1.8	3.6	4.5	1	1	0	1	1	2
1.83	3.5	4.5	0	1	-1	1	2	3
2.7	3.2	2.7	0	1	-1	2	1	1
1.91	3.4	4.2	2	1	1	2	1	1
1.3	5.5	10	0	0	0	1	1	2
1.95	3.6	3.8	0	1	-1	1	1	2
2.38	3.25	3.1	2	0	2	2	1	1
5.5	3.75	1.67	2	0	2	3	1	1
2.1	3.4	3.5	2	0	2	3	1	1
2.88	3.25	2.5	0	3	-3	2	5	3
1.91	3.4	4.2	1	0	1	1	0	1
5	3.6	1.73	1	0	1	1	1	2
2.2	3.4	3.25	3	2	1	4	3	1
2.5	3.25	2.88	1	1	0	1	3	3
2.63	3.25	2.75	1	0	1	1	0	1
1.36	5	8.5	0	2	-2	1	2	3
2.2	3.25	3.4	0	1	-1	0	2	3
1.25	6	11	1	1	0	2	2	2
1.73	3.8	4.75	0	1	-1	0	2	3
2.1	3.4	3.5	0	2	-2	3	2	1
1.36	4.75	9	1	0	1	3	0	1
3.2	3.4	2.25	1	0	1	1	0	1
5	3.75	1.7	0	1	-1	0	2	3
3.1	3.25	2.38	0	0	0	1	0	1
3.75	3.6	1.95	1	1	0	2	2	2
1.6	4	5.5	1	1	0	4	2	1
2	3.5	3.75	2	0	2	3	3	2
2.75	3.6	2.4	0	0	0	0	1	3
1.53	4	6.5	0	0	0	2	1	1
2	3.5	3.75	0	1	-1	0	3	3
2.2	3	3.75	0	3	-3	2	3	3
